DATASET_HEATMAP
SEPARATOR COMMA
DATASET_LABEL,Metabolic Structural Variations
COLOR,#336699
FIELD_LABELS,2345-tetrahydropyridine-26-dicarboxylate N-acetyltransferase,Sensor histidine kinase RcsC,Cobalamin import system permease protein BtuC,Vitamin B12 import ATP-binding protein BtuD,Vitamin B12-binding protein,ATP synthase subunit c,Polyferredoxin protein MvhB,Beta-barrel assembly-enhancing protease,Vitamin B12 import ATP-binding protein BtuD
MGYG000048860,0,0,0,0,0,0,1,0,0
MGYG000049548,0,0,1,0,1,1,1,0,1
MGYG000051095,0,1,1,0,1,1,1,0,1
MGYG000052992,0,0,0,0,0,1,1,0,0
MGYG000055585,0,1,0,0,0,1,1,0,1
MGYG000055933,0,0,1,0,1,1,1,0,1
MGYG000057220,0,1,0,1,0,1,1,1,0
MGYG000057281,0,0,1,0,1,1,1,0,1
MGYG000064111,0,0,1,0,1,1,1,0,1
MGYG000065144,0,0,0,0,0,1,1,0,1
MGYG000069392,0,0,0,0,0,1,1,0,1
MGYG000070702,0,0,0,0,0,1,1,0,1
MGYG000071712,0,1,0,0,0,1,1,0,1
MGYG000074340,0,1,1,0,1,1,0,0,1
MGYG000076231,0,0,1,0,1,1,1,0,1
MGYG000076617,0,0,0,0,0,0,1,0,1
MGYG000076915,0,1,1,0,1,1,1,0,1
MGYG000077521,0,0,1,1,1,1,1,0,0
MGYG000077769,0,0,1,0,1,1,0,0,1
MGYG000078636,0,0,1,0,1,1,1,0,1
MGYG000078980,0,1,0,0,0,1,1,0,1
MGYG000079592,0,0,1,0,1,1,1,0,1
MGYG000080468,0,0,1,0,1,0,1,0,1
MGYG000083008,0,0,0,0,0,1,1,0,1
MGYG000084815,0,0,1,0,1,1,1,0,1
MGYG000084827,0,1,1,0,1,1,0,0,0
MGYG000085105,0,0,0,0,0,1,1,1,1
MGYG000085260,0,0,0,0,0,1,0,0,0
MGYG000090167,0,0,0,0,0,1,1,0,0
MGYG000092358,0,0,1,0,1,1,1,0,1
MGYG000094772,0,0,1,0,1,1,1,0,1
MGYG000096003,0,0,0,0,0,1,1,0,1
MGYG000097032,0,0,1,0,1,1,1,0,1
MGYG000098136,0,0,0,0,0,1,0,0,0
MGYG000098717,0,1,0,0,0,1,1,0,1
MGYG000101902,0,0,0,0,0,1,1,0,1
MGYG000103759,0,0,1,0,1,1,1,0,1
MGYG000104527,0,0,0,0,0,1,1,1,1
MGYG000105396,0,1,1,0,1,1,0,0,0
MGYG000106887,0,1,1,0,1,1,1,0,1
MGYG000109057,0,0,1,0,1,1,1,0,0
MGYG000111109,0,0,0,0,0,1,1,0,1
MGYG000111927,0,0,1,0,1,1,1,0,0
MGYG000118221,0,1,1,0,1,0,0,0,1
MGYG000119092,0,1,1,0,1,1,1,0,1
MGYG000119275,0,0,0,0,0,1,1,0,0
MGYG000124623,0,0,0,0,0,1,1,0,1
MGYG000129903,0,0,1,0,1,1,1,0,1
MGYG000131047,0,0,0,0,0,1,1,0,1
MGYG000132638,0,0,1,1,1,1,1,0,0
MGYG000132663,0,1,1,1,1,1,1,0,0
MGYG000138393,0,0,0,0,0,0,1,0,1
MGYG000139577,0,0,0,0,0,1,1,0,1
MGYG000140238,0,1,0,0,0,1,1,0,1
MGYG000144853,0,1,0,0,0,1,1,0,1
MGYG000144886,0,0,1,1,1,1,1,0,0
MGYG000146594,0,0,0,1,0,1,0,1,0
MGYG000146880,0,0,0,0,0,1,1,0,0
MGYG000148063,0,0,1,0,1,1,1,0,0
MGYG000149271,0,0,0,0,0,1,1,0,1
MGYG000149733,0,0,1,0,1,1,1,0,0
MGYG000153023,0,0,1,0,1,1,1,0,1
MGYG000154144,0,0,0,0,0,1,1,0,1
MGYG000155887,0,1,1,0,1,0,0,0,1
MGYG000156538,0,0,0,1,0,1,1,1,0
MGYG000158427,0,0,1,0,1,1,1,0,1
MGYG000164392,0,1,0,0,0,1,1,0,1
MGYG000164707,0,0,0,0,0,1,1,0,1
MGYG000165675,0,0,0,0,0,1,0,0,1
MGYG000165892,0,0,1,0,1,1,1,0,0
MGYG000167727,0,0,0,0,0,1,1,1,1
MGYG000169867,0,0,0,1,0,0,1,1,0
MGYG000171377,0,0,1,0,1,1,1,1,1
MGYG000171518,0,0,1,0,1,0,1,0,0
MGYG000173677,0,0,0,0,0,1,1,0,1
MGYG000177358,0,0,1,0,1,1,0,0,1
MGYG000177796,0,1,0,0,0,1,1,0,1
MGYG000182359,0,0,1,0,1,1,1,0,1
MGYG000182982,0,0,0,0,0,1,1,0,1
MGYG000184507,0,0,1,0,1,1,0,0,1
MGYG000184621,0,0,1,0,1,1,1,0,0
MGYG000185409,0,0,0,0,0,1,1,0,1
MGYG000186325,0,0,1,0,1,1,1,0,1
MGYG000187021,0,0,0,0,0,1,1,0,1
MGYG000187448,0,0,0,0,0,1,1,0,1
MGYG000189287,0,0,0,0,0,1,1,0,1
MGYG000195618,0,0,1,1,1,1,1,0,0
MGYG000198794,0,0,1,0,1,1,1,0,1
MGYG000199606,0,1,0,0,0,1,0,0,1
MGYG000205349,0,0,1,0,1,0,1,0,0
MGYG000206568,0,0,0,0,0,1,1,1,1
MGYG000207681,0,0,1,0,1,1,1,0,0
MGYG000208729,0,1,1,0,1,1,1,0,1
MGYG000209106,0,0,1,0,1,1,1,0,1
MGYG000209495,0,0,1,0,1,1,1,0,1
MGYG000210453,0,0,0,0,0,1,1,1,0
MGYG000215415,0,0,0,0,0,0,1,0,1
MGYG000215560,0,0,1,0,1,1,1,0,0
MGYG000218204,0,1,1,0,1,1,0,0,1
MGYG000218712,0,0,1,0,1,1,1,0,1
MGYG000220864,0,0,0,0,0,1,1,0,1
MGYG000221061,0,0,1,0,1,1,0,0,1
MGYG000222762,0,0,0,0,0,1,1,1,1
MGYG000225232,0,0,0,0,0,0,1,0,1
MGYG000227974,0,0,0,1,0,1,0,1,0
MGYG000228598,0,0,0,0,0,1,1,0,0
MGYG000228685,0,1,0,0,0,1,1,0,0
MGYG000229367,0,0,0,0,0,1,1,0,1
MGYG000231575,0,0,0,0,0,1,0,1,1
MGYG000236009,0,1,1,0,1,1,1,0,1
MGYG000241051,0,0,1,0,1,1,1,0,1
MGYG000242714,0,0,1,0,1,1,1,1,1
MGYG000243473,0,0,0,0,0,1,1,1,1
MGYG000243784,0,0,0,0,0,1,0,0,1
MGYG000245862,0,0,1,0,1,1,1,0,1
MGYG000247375,0,0,0,0,0,1,1,1,0
MGYG000247410,0,0,1,0,1,1,0,0,1
MGYG000248816,0,0,1,0,1,1,1,0,1
MGYG000249365,0,0,0,0,0,1,0,1,1
MGYG000253943,0,1,1,0,1,1,0,0,1
MGYG000256335,0,1,1,0,1,1,1,0,1
MGYG000256976,0,1,0,0,0,1,1,0,1
MGYG000258922,0,0,0,0,0,1,1,0,1
MGYG000260875,0,0,0,0,0,1,1,1,0
MGYG000262691,0,0,0,0,0,1,1,0,1
MGYG000264634,0,0,0,1,0,1,1,0,0
MGYG000268896,0,0,0,0,0,1,1,0,1
MGYG000268925,0,0,0,0,0,1,1,1,1
MGYG000270933,0,0,0,1,0,1,1,1,0
MGYG000271590,0,0,0,0,0,1,0,0,0
MGYG000272123,0,0,1,0,1,1,1,0,1
MGYG000277784,0,0,0,0,0,1,1,0,1
MGYG000278679,0,0,0,0,0,1,1,0,0
MGYG000279808,0,0,1,0,1,1,1,0,0
MGYG000280726,0,0,0,1,0,1,0,0,0
MGYG000282089,0,1,1,0,1,1,1,0,1
MGYG000282960,0,0,1,0,1,1,1,0,1
MGYG000283016,0,1,0,0,0,1,1,0,1
MGYG000286159,0,0,1,0,1,1,0,0,1
MGYG000287104,0,0,0,0,0,1,1,0,1
MGYG000288878,0,0,1,0,1,1,1,0,1
MGYG000008418,0,1,0,0,0,1,1,0,1
MGYG000012300,0,1,1,1,1,1,1,1,0
MGYG000016865,0,0,1,0,1,0,1,0,1
MGYG000017068,1,1,1,0,1,1,0,0,1
MGYG000040271,0,1,1,1,1,1,0,0,0
MGYG000050570,0,1,1,1,1,1,1,1,0
MGYG000069515,0,0,1,0,1,0,1,0,0
MGYG000072152,0,0,1,1,1,1,1,1,0
MGYG000075130,1,1,1,0,1,0,0,1,1
MGYG000081171,0,0,1,1,1,1,1,1,0
MGYG000089787,0,1,1,0,1,0,0,0,0
MGYG000125756,1,1,1,0,1,1,0,1,0
MGYG000128033,0,1,1,1,1,1,0,0,0
MGYG000129711,1,1,1,0,1,0,0,0,0
MGYG000141612,0,1,1,1,1,1,1,1,0
MGYG000141967,0,0,0,1,0,0,1,1,0
MGYG000144287,1,1,1,0,1,0,0,0,1
MGYG000151331,0,1,1,1,1,1,0,0,0
MGYG000151496,0,0,1,1,1,1,1,0,0
MGYG000155975,0,0,0,1,0,1,1,1,0
MGYG000161484,0,0,1,1,1,0,1,1,0
MGYG000161545,0,1,1,0,1,0,0,0,0
MGYG000165842,1,1,1,0,1,0,0,0,1
MGYG000167296,0,1,1,1,1,1,0,0,0
MGYG000171336,0,1,1,1,1,1,1,0,0
MGYG000183227,1,1,1,0,1,0,0,1,1
MGYG000185271,0,1,1,1,0,0,1,0,0
MGYG000190668,1,0,1,0,1,1,0,1,0
MGYG000197093,1,1,1,0,1,0,0,1,1
MGYG000200309,1,0,1,0,1,1,0,0,0
MGYG000207189,0,1,1,1,1,1,1,1,0
MGYG000211034,1,0,1,0,1,0,0,0,1
MGYG000215351,1,1,1,0,1,1,0,0,1
MGYG000222303,0,1,1,1,1,1,1,0,0
MGYG000223573,0,0,1,0,1,1,1,0,0
MGYG000227504,0,1,1,0,1,1,0,0,0
MGYG000230095,0,1,1,1,1,1,0,1,0
MGYG000233794,1,1,1,0,1,1,0,1,1
MGYG000247838,1,1,1,0,1,1,0,0,0
MGYG000255324,0,0,1,0,1,0,0,1,0
MGYG000258280,0,1,1,1,1,0,1,1,0
MGYG000259779,0,1,1,1,1,1,1,0,0
MGYG000271255,1,1,1,0,1,1,0,1,1
MGYG000275978,1,1,1,0,1,1,0,0,1
MGYG000277122,0,1,0,0,0,1,1,0,1
MGYG000285411,1,1,1,0,1,0,0,1,1
MGYG000285559,0,0,1,0,1,0,1,0,1
