Genome,Host_Lifestyle,Country,Continent,Completeness,Contamination,Length,N_contigs,N50,GC_content
MGYG000161545,Non-Industrialized,Madagascar,Africa,98.53,0.8,1968690,181,18274,31.25
MGYG000164392,Industrialized,United States,North America,100.0,0.0,1724639,12,187663,31.14
MGYG000164707,Industrialized,United States,North America,100.0,0.0,1723207,11,220390,31.05
MGYG000165675,Industrialized,United Kingdom,Europe,100.0,0.0,1818657,65,44724,31.1
MGYG000165842,Non-Industrialized,Peru,South America,100.0,0.0,1849077,72,46226,30.25
MGYG000165892,Industrialized,United States,North America,100.0,0.8,1725973,74,41906,31.1
MGYG000167296,Non-Industrialized,Fiji,Oceania,96.8,0.0,1598827,29,97362,31.46
MGYG000167727,Industrialized,United Kingdom,Europe,100.0,0.0,1770837,27,115821,30.97
MGYG000169867,Industrialized,United States,North America,100.0,0.0,1654417,14,139855,31.34
MGYG000171336,Non-Industrialized,Fiji,Oceania,95.2,0.0,1623291,51,45078,31.36
MGYG000171377,Industrialized,United Kingdom,Europe,99.6,0.0,1859484,134,21952,30.43
MGYG000171518,Industrialized,United States,North America,100.0,0.0,1723753,26,89792,31.18
MGYG000173677,Industrialized,United States,North America,100.0,0.0,1731088,8,293335,31.15
MGYG000177358,Industrialized,United Kingdom,Europe,100.0,0.0,1771604,21,133238,30.48
MGYG000177796,Industrialized,United States,North America,100.0,0.0,1736874,97,30209,31.26
MGYG000182359,Industrialized,United States,North America,99.2,0.0,1797373,54,80226,31.13
MGYG000182982,Industrialized,United States,North America,100.0,0.0,1776836,32,110521,31.06
MGYG000183227,Non-Industrialized,Peru,South America,99.2,0.0,1864390,100,38340,30.22
MGYG000184507,Industrialized,United Kingdom,Europe,100.0,0.0,1800988,23,209994,30.56
MGYG000184621,Industrialized,United States,North America,96.0,0.0,1511484,70,31118,30.86
MGYG000185271,Non-Industrialized,Fiji,Oceania,98.37,0.0,1541416,196,11555,31.51
MGYG000185409,Industrialized,United States,North America,100.0,0.8,1697923,39,60741,31.23
MGYG000186325,Industrialized,United States,North America,98.4,0.0,1843730,140,21690,30.65
MGYG000187021,Industrialized,United Kingdom,Europe,100.0,0.0,1749125,29,92980,31.11
MGYG000187448,Industrialized,United States,North America,100.0,0.0,1766722,20,123273,31.06
MGYG000189287,Industrialized,United Kingdom,Europe,100.0,0.0,1718311,20,92046,31.13
MGYG000190668,Non-Industrialized,Peru,South America,92.0,2.4,1838825,214,12420,30.41
MGYG000195618,Industrialized,United States,North America,100.0,0.0,1776937,25,154633,31.11
MGYG000197093,Non-Industrialized,Peru,South America,99.2,0.0,1837184,70,47915,30.23
MGYG000198794,Industrialized,United States,North America,99.94,0.8,1973030,40,256349,30.45
MGYG000199606,Industrialized,United States,North America,90.8,0.0,1560181,346,6225,31.53
MGYG000200309,Non-Industrialized,Peru,South America,96.0,1.64,1739475,275,9532,30.41
MGYG000205349,Industrialized,United States,North America,100.0,0.0,1848178,23,115380,30.44
MGYG000206568,Industrialized,United States,North America,92.8,0.8,1564927,205,9423,31.3
MGYG000207189,Non-Industrialized,Fiji,Oceania,100.0,0.0,1717289,54,53265,31.22
MGYG000207681,Industrialized,United States,North America,100.0,0.0,1795087,27,141700,31.08
MGYG000208729,Industrialized,United Kingdom,Europe,100.0,0.0,1906607,23,133512,30.25
MGYG000209106,Industrialized,United States,North America,100.0,0.0,1830885,157,16615,30.8
MGYG000209495,Industrialized,United States,North America,97.2,0.4,1791470,139,16898,30.72
MGYG000210453,Industrialized,United States,North America,100.0,0.0,1714615,28,86981,31.35
MGYG000211034,Non-Industrialized,Peru,South America,94.43,1.6,1595286,221,9959,30.49
MGYG000215351,Non-Industrialized,Peru,South America,100.0,0.8,1773404,53,55007,30.42
MGYG000215415,Industrialized,United States,North America,100.0,0.0,1772129,16,170860,31.0
MGYG000215560,Industrialized,United States,North America,98.4,0.0,1674641,15,135437,30.67
MGYG000218204,Industrialized,United Kingdom,Europe,99.2,0.53,1843355,210,11912,30.43
MGYG000218712,Industrialized,United Kingdom,Europe,100.0,0.0,1835042,60,52646,30.42
MGYG000220864,Industrialized,United States,North America,95.96,1.32,1591297,143,15422,31.33
MGYG000221061,Industrialized,United Kingdom,Europe,97.33,0.8,1719870,277,8473,30.6
MGYG000222303,Non-Industrialized,Fiji,Oceania,93.83,2.4,1520245,229,8643,31.63
MGYG000222762,Industrialized,United States,North America,100.0,0.0,1766255,21,119043,31.07
MGYG000223573,Non-Industrialized,Fiji,Oceania,99.66,1.33,1687393,98,29229,31.52
MGYG000225232,Industrialized,United States,North America,100.0,0.0,1799569,64,46447,31.2
MGYG000227504,Non-Industrialized,Fiji,Oceania,100.0,0.0,1587601,74,37605,31.48
MGYG000227974,Industrialized,United Kingdom,Europe,100.0,0.0,1718491,4,757321,31.14
MGYG000228598,Industrialized,United Kingdom,Europe,93.6,0.0,1379905,9,322264,31.38
MGYG000228685,Industrialized,United States,North America,94.4,0.0,1577270,84,35260,31.48
MGYG000229367,Industrialized,United States,North America,100.0,0.0,1908320,59,88895,31.05
MGYG000230095,Non-Industrialized,Fiji,Oceania,100.0,0.8,1768385,26,123219,31.17
MGYG000231575,Industrialized,United Kingdom,Europe,100.0,0.0,1766870,27,153815,31.0
MGYG000233794,Non-Industrialized,Peru,South America,93.6,2.4,1854028,387,6042,30.09
MGYG000236009,Industrialized,United States,North America,100.0,0.8,1910054,50,108845,30.29
MGYG000241051,Industrialized,United States,North America,100.0,0.0,1916518,29,105098,30.34
MGYG000242714,Industrialized,United Kingdom,Europe,100.0,0.0,1804129,10,233335,31.0
MGYG000243473,Industrialized,United Kingdom,Europe,100.0,0.0,1833839,23,147602,31.11
MGYG000243784,Industrialized,United Kingdom,Europe,92.0,0.0,1659792,22,129676,31.12
MGYG000245862,Industrialized,United States,North America,100.0,0.0,1750122,22,111016,31.06
MGYG000247375,Industrialized,United States,North America,91.64,0.0,1620654,188,12920,31.04
MGYG000247410,Industrialized,United Kingdom,Europe,100.0,0.0,1896149,20,157461,30.3
MGYG000247838,Non-Industrialized,Peru,South America,95.84,0.0,1689303,84,30859,30.71
MGYG000248816,Industrialized,United States,North America,100.0,0.8,1782598,36,105517,31.1
MGYG000249365,Industrialized,United Kingdom,Europe,100.0,0.0,1720646,36,97249,31.17
MGYG000253943,Industrialized,United Kingdom,Europe,100.0,0.0,1760961,23,101412,30.45
MGYG000255324,Non-Industrialized,Fiji,Oceania,91.02,1.07,1364848,152,14512,31.72
MGYG000256335,Industrialized,United Kingdom,Europe,97.6,0.0,1794568,28,110864,30.42
MGYG000256976,Industrialized,United States,North America,100.0,0.0,1747731,31,96612,31.17
MGYG000258280,Non-Industrialized,Fiji,Oceania,96.8,4.5,1979329,393,6103,31.27
MGYG000258922,Industrialized,United States,North America,100.0,0.0,1821071,21,109440,31.1
MGYG000259779,Non-Industrialized,Fiji,Oceania,99.2,0.0,1744829,43,98839,31.23
MGYG000260875,Industrialized,United Kingdom,Europe,99.6,0.0,1686078,61,52021,31.31
MGYG000262691,Industrialized,United Kingdom,Europe,100.0,0.0,1746000,21,109748,31.03
MGYG000264634,Industrialized,United Kingdom,Europe,100.0,0.0,1752475,32,104794,31.09
MGYG000268896,Industrialized,United Kingdom,Europe,96.4,1.6,1660171,237,10275,31.36
MGYG000268925,Industrialized,United States,North America,100.0,0.0,1753510,31,81983,31.02
MGYG000270933,Industrialized,United States,North America,99.2,0.0,1595501,6,260504,31.37
MGYG000271255,Non-Industrialized,Peru,South America,95.84,0.04,1759391,184,14107,30.34
MGYG000271590,Industrialized,United States,North America,92.89,2.8,1627292,317,6049,31.37
MGYG000272123,Industrialized,United Kingdom,Europe,99.2,0.0,1817585,37,170644,31.0
MGYG000275978,Non-Industrialized,Peru,South America,97.6,0.0,1828364,48,63419,30.3
MGYG000277122,Non-Industrialized,Fiji,Oceania,100.0,0.0,1714079,23,142884,31.15
MGYG000277784,Industrialized,United States,North America,100.0,0.0,1764583,42,61558,31.05
MGYG000278679,Industrialized,United States,North America,93.33,1.2,1671739,279,8321,31.1
MGYG000279808,Industrialized,United States,North America,96.8,0.0,1786732,153,15581,31.19
MGYG000280726,Industrialized,United Kingdom,Europe,99.2,0.0,1757695,19,181192,31.41
MGYG000282089,Industrialized,United States,North America,94.4,0.8,1869210,45,94662,30.28
MGYG000282960,Industrialized,United States,North America,99.6,0.0,1965064,40,99611,30.43
MGYG000283016,Industrialized,United States,North America,100.0,0.0,1777699,34,88538,31.17
MGYG000285411,Non-Industrialized,Peru,South America,100.0,0.0,1761530,36,75930,30.32
MGYG000285559,Non-Industrialized,Madagascar,Africa,96.13,0.8,1718518,150,15614,31.4
MGYG000286159,Industrialized,United Kingdom,Europe,100.0,0.0,1826690,11,292338,30.45
MGYG000287104,Industrialized,United Kingdom,Europe,100.0,0.8,1815580,10,517152,31.31
MGYG000288878,Industrialized,United States,North America,95.14,0.0,1767226,295,8156,31.38
